100
3
172,38,0.59
132,49,3.41
85,53,5.37
218,53,5.6
353,54,6.02
58,55,7.42
82,58,9.3
358,60,9.36
70,63,9.59
109,64,14.44
272,65,15.72
364,68,16.53
332,75,16.62
179,76,18.09
247,79,20.19
49,81,20.84
310,84,22.85
365,85,26.94
403,92,31.67
402,99,34.92
392,106,37.86
418,110,42.28
173,112,45.83
100,115,46.05
375,117,47.36
157,119,48.53
119,119,49.16
72,121,49.42
184,124,54.8
209,124,56.33
97,125,59.9
98,132,59.95
322,136,61.68
157,147,62.33
162,153,63.77
241,154,65.2
80,154,65.39
237,161,65.59
197,168,69.34
281,168,70.51
412,174,72.04
132,192,72.17
303,196,72.36
300,196,73.09
155,201,74.23
98,211,77.21
288,220,80.8
424,223,81.51
179,229,82.96
160,232,83.32
144,246,87.75
256,247,88.09
179,249,88.37
234,249,90.45
254,253,90.95
287,254,91.36
368,257,92.3
228,263,92.33
78,265,93.06
199,269,100.23
78,277,101.54
95,278,101.74
179,281,101.81
76,284,102.28
186,285,104.49
154,291,107.77
123,296,107.86
272,297,108.87
389,300,109.78
412,312,110.07
373,319,110.09
423,321,112.36
398,323,113.35
368,326,116.98
315,337,119.71
248,339,123.32
228,343,126.4
143,346,128.43
292,356,130.63
145,364,131.46
120,370,131.62
184,377,132.56
279,379,134.17
106,381,134.68
157,388,136.57
208,393,136.67
138,395,138.91
231,396,140.86
218,404,141.35
313,405,141.96
55,407,143.32
215,410,143.61
34,414,143.73
414,417,146.31
300,419,146.6
223,427,147.37
335,427,147.4
267,429,147.61
252,435,148.1
87,438,148.22
