50
3
119,33,7.04
168,34,10.58
129,47,12.59
46,49,14.37
212,58,15.21
98,63,22.54
148,70,23.66
346,81,26.08
310,84,28.58
180,108,30.38
339,130,34.58
395,134,36.03
296,138,36.62
296,146,39.77
213,148,41.61
204,163,43.28
181,176,48.53
189,207,51.14
66,214,52.09
50,232,52.35
133,244,54.15
127,249,61.82
121,270,62.06
273,286,62.94
194,302,71.02
305,304,72.07
340,315,74.15
137,327,74.88
310,330,76.77
293,334,78.05
186,339,85.26
89,344,86.74
262,344,90.08
234,354,90.96
80,362,96.56
311,369,105.36
111,374,111.35
286,380,115.74
260,380,117.01
167,390,119.01
316,396,120.2
386,397,125.08
225,404,125.14
298,408,130.8
192,414,131.63
45,414,132.41
336,416,135.32
98,419,139.14
302,427,139.79
312,439,148.17
